timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/24 20:03:05.714, NVIDIA A800 80GB PCIe, 97 %, 23 %, 19239 MiB, 81920 MiB, 300.67 W
2026/08/24 20:03:06.720, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 286.20 W
2026/08/24 20:03:07.725, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19239 MiB, 81920 MiB, 307.26 W
2026/08/24 20:03:08.730, NVIDIA A800 80GB PCIe, 99 %, 22 %, 19239 MiB, 81920 MiB, 224.83 W
2026/08/24 20:03:09.735, NVIDIA A800 80GB PCIe, 98 %, 25 %, 19239 MiB, 81920 MiB, 282.41 W
2026/08/24 20:03:10.741, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 318.19 W
2026/08/24 20:03:11.746, NVIDIA A800 80GB PCIe, 98 %, 25 %, 19239 MiB, 81920 MiB, 288.55 W
2026/08/24 20:03:12.747, NVIDIA A800 80GB PCIe, 100 %, 38 %, 19239 MiB, 81920 MiB, 78.19 W
2026/08/24 20:03:13.747, NVIDIA A800 80GB PCIe, 0 %, 0 %, 19239 MiB, 81920 MiB, 77.30 W
2026/08/24 20:03:14.748, NVIDIA A800 80GB PCIe, 0 %, 0 %, 19239 MiB, 81920 MiB, 76.56 W
2026/08/24 20:03:15.748, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19239 MiB, 81920 MiB, 297.64 W
2026/08/24 20:03:16.748, NVIDIA A800 80GB PCIe, 99 %, 22 %, 19239 MiB, 81920 MiB, 308.71 W
2026/08/24 20:03:17.748, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19239 MiB, 81920 MiB, 293.88 W
2026/08/24 20:03:18.748, NVIDIA A800 80GB PCIe, 100 %, 23 %, 19239 MiB, 81920 MiB, 289.79 W
2026/08/24 20:03:19.748, NVIDIA A800 80GB PCIe, 97 %, 20 %, 19239 MiB, 81920 MiB, 315.34 W
